"dec" "attr" "sinc" "intel" "fun" "amb" "shar"
"80" 1 7 6 8 7 9 8
"81" 1 8 10 9 8 7 6
"82" 1 10 10 10 10 10 10
"83" 1 5 10 10 6 6 6
"84" 1 10 9 8 8 7 7
"85" 1 5 10 8 8 5 5
"86" 1 8 9 9 7 6 5
"87" 1 6 8 9 6 6 6
"88" 1 6 7 8 7 9 6
"89" 1 8 5 5 6 5 5
"90" 1 7 8 7 8 7 8
"99" 1 9 9 9 9 9 9
"100" 1 9 9 8 10 8 8
"101" 0 6 8 8 8 8 6
"102" 0 8 7 6 9 7 4
"103" 0 7 8 6 5 8 4
"104" 0 6 7 8 7 7 5
"105" 0 6 8 8 8 7 6
"106" 0 7 9 8 9 8 4
"107" 0 7 8 8 8 7 7
"108" 0 8 7 6 6 6 5
"109" 0 6 8 7 8 7 5
"110" 0 7 8 7 8 6 5
"111" 0 7 8 10 7 7 5
"112" 0 7 6 10 6 6 5
"113" 0 6 7 10 6 6 5
"114" 0 6 5 10 6 6 5
"115" 0 6 7 10 7 6 5
"116" 0 6 8 10 6 7 6
"117" 1 7 9 10 6 6 5
"118" 1 8 8 10 7 6 5
"119" 1 8 8 10 7 6 5
"120" 0 1 1 1 1 1 1
"121" 1 10 10 10 10 10 10
"122" 1 10 10 10 10 10 10
"123" 1 10 10 10 10 10 10
"124" 1 10 10 10 10 10 10
"125" 1 10 10 10 10 10 10
"126" 1 10 10 10 10 10 10
"127" 1 10 10 10 10 10 10
"128" 1 10 10 10 10 10 10
"129" 1 10 10 10 10 10 10
"130" 1 10 10 10 10 10 10
"131" 1 7 8 9 8 9 8
"132" 1 9 9 9 9 9 9
"133" 1 7 9 8 8 8 8
"134" 1 7 7 7 9 9 9
"135" 1 6 8 6 8 10 10
"136" 1 6 8 8 7 9 8
"137" 1 8 8 9 8 9 9
"138" 1 8 8 8 8 8 7
"139" 1 7 8 7 8 8 7
"140" 1 7 8 7 9 8 8
"141" 1 8 7 9 6 9 7
"142" 1 10 10 10 10 7 8
"144" 1 8 8 9 8 8 9
"145" 0 5 9 9 7 9 5
"146" 1 9 7 9 7 9 6
"147" 1 8 7 9 6 9 5
"149" 1 7 9 8 9 7 7
"151" 1 7 7 8 8 7 7
"152" 1 7 8 7 5 7 7
"153" 1 7 6 6 6 6 6
"154" 1 6 6 7 7 8 7
"155" 0 5 8 7 7 7 7
"156" 1 6 6 8 8 8 7
"157" 1 8 8 8 6 6 6
"158" 1 8 7 7 7 8 7
"159" 1 6 6 7 8 7 7
"161" 0 3 6 7 5 8 7
"162" 0 5 3 4 3 5 3
"163" 0 6 3 5 4 5 4
"164" 1 7 6 3 5 6 5
"165" 0 2 3 4 4 5 3
"166" 0 5 6 8 4 5 4
"167" 0 7 6 5 4 4 3
"168" 0 6 4 7 5 6 4
"169" 1 8 6 7 8 6 5
"170" 0 7 7 4 3 4 4
"171" 0 6 7 5 6 8 6
"172" 1 7 7 7 7 7 5
"173" 0 4 5 6 4 6 4
"174" 0 6 7 8 6 6 5
"175" 0 5 5 6 5 5 5
"176" 0 6 7 8 7 8 5
"177" 1 8 7 6 7 7 5
"178" 1 9 8 8 8 7 5
"179" 0 7 7 7 7 6 5
"180" 0 6 6 6 6 6 5
"181" 1 7 7 8 8 8 9
"182" 1 8 6 9 9 8 7
"183" 1 7 7 6 8 7 7
"184" 1 7 7 7 10 9 10
"185" 1 5 9 9 9 9 6
"186" 1 6 7 7 6 6 6
"187" 1 9 7 9 9 9 10
"188" 1 8 7 8 10 8 10
"189" 1 6 6 6 7 6 6
"190" 1 7 7 7 7 6 6
"191" 0 6 6 6 6 6 6
"192" 0 6 5 7 7 9 7
"193" 0 5 6 8 5 8 6
"194" 0 7 8 8 7 8 7
"195" 0 3 10 7 7 10 5
"196" 0 7 10 10 6 10 7
"197" 0 7 6 8 6 8 7
"198" 1 8 10 9 9 8 8
"199" 0 5 6 6 6 6 6
"200" 0 6 6 6 6 6 6
"201" 0 6 8 7 9 5 7
"202" 0 5 8 7 5 9 5
"203" 1 8 9 8 8 7 6
"204" 0 5 8 8 4 9 3
"205" 0 7 7 8 5 7 2
"206" 0 6 8 8 6 8 4
"207" 0 6 8 8 6 8 5
"208" 0 4 7 7 4 7 3
"209" 0 7 7 7 5 6 3
"210" 1 9 9 10 9 9 8
"211" 0 5 7 7 7 7 6
"212" 0 7 4 6 4 4 2
"213" 0 5 8 8 5 8 2
"214" 0 6 8 7 7 7 2
"215" 0 6 8 7 6 8 2
"216" 0 5 9 9 8 9 5
"217" 0 5 7 7 6 7 5
"218" 0 4 7 6 6 7 2
"219" 0 5 6 6 5 6 3
"220" 0 5 7 7 5 7 3
"221" 1 6 8 8 7 7 6
"222" 1 6 7 7 4 6 6
"223" 1 8 7 7 7 6 7
"224" 0 5 7 7 6 6 5
"225" 1 7 7 7 7 7 6
"226" 0 6 7 7 5 7 4
"227" 1 5 6 7 7 7 7
"228" 0 3 4 5 4 4 2
"229" 0 3 6 7 5 5 4
"230" 1 7 7 8 6 7 8
"231" 0 4 5 5 4 5 4
"232" 1 6 7 7 7 7 7
"233" 1 5 7 6 6 6 7
"234" 0 5 7 7 6 6 7
"235" 1 6 6 7 6 6 6
"236" 1 5 7 8 6 6 7
"237" 1 7 7 7 6 6 9
"238" 1 6 7 7 6 7 5
"239" 1 7 6 7 7 7 6
"240" 0 5 6 7 6 6 6
"241" 0 6 6 6 8 6 5
"242" 1 7 7 6 7 6 7
"243" 1 6 6 7 8 8 7
"244" 0 7 6 5 4 4 4
"245" 0 6 6 5 7 5 6
"247" 0 6 7 6 6 5 5
"248" 0 6 8 7 6 7 5
"256" 0 5 7 7 7 7 7
"265" 0 7 8 9 6 8 5
"266" 0 5 8 8 6 8 5
"267" 0 6 7 8 7 9 7
"268" 0 4 5 10 4 10 4
"269" 0 6 7 9 7 9 3
"270" 0 6 8 7 5 8 7
"271" 0 7 8 8 6 10 6
"272" 0 3 8 9 8 10 5
"273" 0 7 8 8 8 6 6
"274" 0 8 8 9 8 9 8
"275" 0 9 8 9 8 10 7
"276" 0 6 5 8 7 10 8
"277" 0 5 4 7 5 9 7
"278" 0 7 8 9 7 8 5
"279" 0 5 8 8 6 9 6
"280" 0 7 7 7 8 8 6
"281" 0 2 5 5 3 5 2
"282" 0 2 5 5 3 5 2
"283" 0 2 5 5 3 7 3
"284" 0 2 6 7 1 7 2
"285" 0 3 8 7 6 6 4
"286" 0 4 7 6 1 4 3
"287" 0 7 4 5 6 5 4
"288" 0 3 7 6 4 6 2
"289" 0 6 5 5 7 6 3
"290" 0 5 8 8 7 7 6
"291" 0 7 6 6 7 6 6
"292" 0 6 7 6 5 6 6
"293" 0 2 7 6 4 4 4
"294" 0 6 8 8 6 7 5
"295" 0 2 8 7 2 7 2
"296" 0 6 6 6 6 6 4
"299" 0 1 4 6 2 6 1
"300" 0 1 6 7 6 4 3
"301" 0 1 3 4 2 2 1
"302" 0 3 6 6 4 5 1
"303" 1 8 7 6 6 4 4
"304" 0 1 4 5 4 4 4
"305" 0 4 6 4 5 6 7
"307" 1 6 5 6 7 8 4
"308" 0 1 2 6 1 6 2
"309" 0 1 3 7 1 4 2
"310" 0 6 4 8 3 8 2
"311" 0 2 4 7 3 6 2
"312" 0 5 6 6 4 3 4
"313" 0 3 6 6 6 5 2
"314" 0 2 6 5 4 5 2
"315" 0 3 5 8 5 8 3
"316" 0 4 6 5 4 4 3
"317" 0 4 6 7 4 5 2
"318" 0 4 6 5 3 3 3
"319" 1 7 8 8 8 5 9
"320" 0 4 6 6 5 4 3
"321" 0 6 6 5 6 4 4
"322" 0 3 5 7 5.5 5 4
"323" 0 5 8 9 5 8 6
"324" 1 5 4.5 6 4 5.5 6
"326" 1 6 6 7 5 6 7
"327" 0 4 5 6.5 5 5 6
"328" 0 4 6 6 5 6 6
"333" 1 8 6 7 3 7 2
"334" 1 6 8 7 4 7 2
"337" 1 8 7 8 8 8 6
"338" 0 7 5 6 8 6 4
"340" 1 6 7 7 4 6 6
"341" 1 6 8 8 5 7 5
"343" 0 6 7 6 4 6 5
"344" 1 6 8 7 6 5 3
"345" 0 3 6 6 5 6 5
"346" 0 8 9 8 5 9 5
"347" 0 6 7 8 7 8 7
"348" 0 4 6 6 5 7 6
"349" 0 6 9 7 5 6 3
"350" 0 4 5 5 2 6 5
"351" 0 8 7 7 7 5 5
"352" 0 5 5 5 7 7 6
"353" 0 7 7 5 7 5 7
"354" 1 8 7 7 7 7 7
"355" 1 7 7 8 8 7 7
"356" 0 5 5 5 2 4 3
"357" 0 3 7 8 6 7 5
"358" 1 7 7 8 7 9 7
"359" 0 3 5 8 4 7 6
"360" 1 7 7 8 8 7 8
"361" 0 4 6 6 6 6 4
"362" 0 3 6 6 3 6 2
"363" 0 4 5 6 5 6 4
"364" 0 4 5 6 5 5 5
"365" 0 4 6 7 5 8 5
"366" 0 4 5 7 3 6 4
"367" 0 9 6 7 7 6 5
"368" 0 2 3 4 2 6 2
"369" 1 8 9 8 8 8 8
"370" 1 7 8 8 6 7 5
"371" 1 9 7 8 9 8 8
"372" 0 4 6 5 5 5 5
"373" 0 3 8 8 5 5 5
"374" 0 7 7 7 6 6 6
"375" 0 4 5 6 4 5 5
"376" 1 9 8 7 10 9 8
"380" 0 5 7 7 6 9 5
"381" 0 5 7 9 5 4 6
"382" 0 8 8 9 5 9 6
"384" 0 7 9 8 7 8 8
"385" 0 7 8 7 9 6 4
"386" 0 6 8 9 9 6 6
"387" 0 7 8 8 9 8 4
"388" 0 5 6 7 6 7 5
"389" 0 4 7 6 6 9 4
"390" 0 7 6 9 8 9 9
"391" 0 7 6 9 8 9 9
"392" 0 8 8 7 9 7 5
"393" 0 2 6 7 4 6 2
"394" 1 5 7 7 5 7 5
"395" 0 6 6 7 3 7 3
"396" 0 4 5 6 7 7 4
"397" 0 6 7 8 5 7 5
"398" 0 7 5 9 1 9 2
"399" 0 8 7 5 6 7 4
"400" 0 7 7 6 6 6 4
"403" 0 5 4 5 6 7 6
"405" 0 4 6 5 4 5 3
"406" 0 4 5 6 5 6 5
"408" 0 3 3 5 3 5 3
"409" 0 5 4 3 3 2 2
"410" 1 7 8 8 7 8 6
"411" 0 4 4 6 6 7 4
"412" 0 3 3 4 2 2 2
"413" 0 4 4 5 4 5 3
"414" 0 5 4 6 3 7 3
"415" 0 4 6 6 5 7 3
"416" 0 4 4 5 6 6 5
"417" 1 6 8 9 7 7 8
"418" 0 5 9 8 6 7 6
"419" 0 6 8 9 8 7 9
"420" 0 6 8 8 8 7 7
"421" 0 5 8 7 7 7 5
"422" 1 7 8 9 7 8 9
"423" 1 8 8 9 9 8 10
"424" 0 5 6 8 8 7 8
"425" 1 8 8 7 8 7 6
"426" 1 7 9 9 9 9 10
"427" 1 6 8 8 10 8 9
"428" 1 8 8 6 6 7 6
"429" 0 6 7 10 7 7 9
"430" 1 8 8 8 8 8 6
"431" 0 6 8 8 6 7 9
"432" 0 6 8 8 8 8 6
"433" 0 2 5 2 3 1 3
"434" 0 1 2 2 1 8 2
"435" 0 2 2 4 1 5 1
"436" 0 1 1 1 1 1 1
"437" 0 1 1 1 1 1 1
"438" 0 2 2 5 2 8 4
"439" 0 2 5 4 3 4 2
"440" 0 1 3 5 1 2 1
"441" 0 3 1 2 2 2 3
"442" 1 4 5 8 8 10 8
"443" 0 5 4 8 5 8 3
"444" 1 5 2 6 2 5 4
"445" 0 1 5 5 2 5 2
"446" 1 9 8 8 5 6 7
"447" 0 3 4 6 4 5 2
"448" 0 5 6 8 6 8 4
"449" 0 2 4 5 4 4 3
"450" 0 2 5 6 3 4 3
"451" 1 4 4 6 7 5 4
"452" 0 4 7 8 2 6 2
"453" 1 7 6 8 6 9 6
"454" 0 6 4 7 4 5 2
"455" 1 8 5 9 7 6 5
"456" 0 3 5 7 6 6 6
"457" 1 8 5 6 9 4 6
"458" 0 6 5 5 4 4 4
"459" 1 6 3 6 8 4 4
"460" 1 7 4 7 7 6 8
"461" 1 2 6 6 6 4 5
"462" 1 7 7 7 4 7 4
"463" 0 4 3 4 2 3 3
"464" 1 5 7 6 7 4 5
"465" 0 2 8 10 3 10 3
"466" 0 1 1 10 1 10 1
"467" 0 8 8 10 7 7 7
"468" 0 3 7 10 4 8 2
"469" 0 5 10 7 4 5 7
"470" 0 6 6 8 3 8 3
"471" 0 10 6 6 9 5 3
"472" 0 7 9 7 7 4 3
"473" 1 8 6 5 8 5 3
"474" 1 9 9 9 8 5 3
"475" 1 8 8 8 9 9 7
"476" 0 8 7 9 8 8 3
"477" 0 2 9 9 3 8 3
"478" 0 3 9 9 3 9 5
"479" 0 3 9 9 5 9 5
"480" 1 8 8 8 8 9 8
"481" 1 6 7 9 9 9 8
"484" 1 7 9 8 7 6 5
"485" 0 4 7 7 4 5 1
"486" 0 4 5 7 1 5 1
"488" 1 5 5 8 8 5 7
"489" 1 8 5 6 7 5 5
"497" 0 3 10 10 6 4 7
"498" 0 4 10 8 8 6 4
"499" 0 5 4 3 7 4 3
"500" 0 5 10 9 9 8 5
"501" 0 8 10 9 9 8 4
"502" 0 8 9 9 8 7 4
"503" 0 9 8 6 8 7 5
"504" 0 8 8 7 8 7 3
"505" 0 5 6 3 4 3 3
"506" 0 6 6 8 7 8 4
"507" 0 7 5 4 4 8 3
"508" 0 8 10 10 7 8 4
"509" 0 6 10 10 8 5 3
"510" 0 8 7 6 8 6 4
"511" 0 5 6 6 5 7 3
"512" 0 5 8 9 7 8 4
"513" 0 4 6 8 7 6 3
"514" 0 8 9 10 9 10 7
"515" 0 3 10 9 10 4 4
"523" 1 8 8 8 8 8 8
"535" 0 3 10 9 5 9 2
"536" 0 3 6 8 5 5 1
"538" 0 7 6 7 9 8 2
"546" 0 5 9 10 8 10 4
"547" 0 6 10 10 8 10 6
"548" 0 6 9 7 6 6 3
"549" 0 3 8 7 7 10 4
"553" 0 4 9 8 6 6 5
"554" 0 4 5 6 4 6 2
"555" 0 4 5 5 3 5 1
"556" 1 4 6 5 4 3 2
"557" 0 5 5 6 4 7 2
"558" 1 8 5 6 6 5 1
"559" 1 6 5 7 5 5 2
"560" 1 7 6 5 7 3 5
"561" 0 5 6 6 4 7 6
"562" 0 4 4 5 4 6 5
"563" 0 3 4 7 3 7 1
"564" 1 6 6 6 6 5 3
"565" 0 5 6 7 4 4 3
"566" 0 4 4 7 3 6 4
"567" 0 6 5 5 6 7 2
"568" 1 7 4 7 3 7 5
"569" 1 6 5 5 4 5 4
"570" 0 4 6 7 3 6 4
"571" 0 4 6 7 6 7 2
"572" 0 3 7 7 7 5 3
"573" 1 6 7 8 6 7 7
"574" 1 6 7 6 6 8 5
"575" 1 8 8 8 10 7 8
"576" 1 5 7 8 7 8 8
"577" 1 7 6 6 7 5 4
"578" 1 8 7 7 8 7 7
"579" 1 9 7 7 7 6 5
"580" 1 5 5 5 5 6 5
"581" 1 7 6 7 6 7 5
"582" 1 7 7 7 7 6 7
"583" 1 9 7 7 6 7 7
"584" 1 7 6 6 7 7 8
"585" 1 6 7 7 6 6 8
"586" 1 8 7 8 7 6 6
"588" 1 7 7 7 5 6 7
"589" 1 5 5 6 5 7 5
"590" 1 7 6 6 7 6 5
"591" 1 8 5 5 5 5 4
"592" 1 7 8 8 7 9 6
"593" 1 7 7 7 5 6 5
"594" 1 7 8 7 6 6 6
"595" 1 6 6 6 6 5 5
"596" 1 7 6 6 7 6 6
"597" 1 7 6 8 7 6 7
"598" 1 8 8 7 8 6 7
"599" 1 7 7 7 6 6 6
"600" 1 8 8 6 7 6 6
"601" 1 6 6 6 6 6 5
"602" 1 9 8 8 7 8 6
"603" 1 9 8 8 8 8 7
"604" 0 6 5 7 5 7 5
"605" 1 7 7 7 7 7 7
"606" 1 8 6 7 6 7 7
"607" 1 7 7 8 7 7 7
"608" 1 6 7 6 6 5 6
"609" 1 6 6 7 9 7 7
"610" 0 5 7 5 5 6 5
"611" 0 6 7 10 8 9 8
"612" 0 5 8 5 5 6 5
"613" 0 6 8 9 8 8 9
"614" 0 7 8 8 8 7 9
"615" 1 10 8 7 8 7 8
"616" 1 10 9 9 10 7 8
"617" 1 9 8 8 8 7 9
"618" 1 7 7 7 7 7 9
"619" 0 6 7 6 8 7 7
"620" 0 6 8 8 9 8 6
"621" 1 9 6 7 6 7 8
"622" 1 8 9 8 7 10 7
"623" 0 6 8 7 8 8 8
"624" 1 7 7 7 9 8 7
"625" 1 8 8 8 6 9 8
"626" 0 6 7 8 6 9 7
"627" 0 6 8 9 8 9 7
"628" 1 8 8 8 10 8 7
"629" 0 6 8 7 9 7 6
"630" 1 9 5 6 5 5 7
"632" 1 5 6 6 4 7 4
"633" 1 6 6 6 5 6 4
"634" 1 6 7 5 5 5 2
"635" 1 5 6 6 6 6 6
"636" 1 7 5 6 6 4 5
"637" 1 5 6 7 5 7 5
"638" 0 5 6 5 6 7 2
"639" 0 9 5 6 3 6 3
"640" 1 7 6 6 5 7 5
"641" 1 5 7 7 6 5 5
"642" 1 5 6 7 6 6 3
"643" 1 5 6 7 7 7 6
"644" 1 7 5 6 5 6 4
"645" 1 6 6 6 5 8 4
"647" 1 6 7 7 6 6 6
"648" 1 3 7 6 5 5 6
"649" 0 3 8 5 5 8 3
"651" 0 4 6 6 4 3 3
"656" 0 7 8 5 6 3 3
"657" 0 6 8 9 5 9 3
"660" 0 5 6 8 5 8 3
"662" 1 7 7 7 5 5 3
"663" 0 7 7 8 5 5 4
"664" 0 6 8 7 7 9 4
"665" 0 3 6 6 5 4 4
"667" 0 3 5 5 6 5 3
"668" 0 6 7 8 4 6 4
"670" 0 7 8 8 6 7 3
"671" 1 7 7 6 5 6 7
"672" 1 9 8 7 8 6 5
"673" 1 9 8 7 7 7 8
"674" 1 8 8 7 7 7 0
"676" 1 7 8 8 7 6 5
"679" 1 7 7 8 7 7 6
"680" 1 7 7 8 8 8 7
"681" 1 8 8 7 6 7 6
"682" 1 8 8 10 5 6 5
"683" 1 8 8 7 7 10 5
"684" 0 6 8 8 6 8 3
"685" 1 8 7 7 8 8 4
"686" 0 7 8 7 8 4 5
"694" 0 6 8 8 7 8 5
"699" 0 6 8 8 8 8 5
"706" 0 2 8 8 3 2 2
"707" 0 2 2 3 2 2 1
"708" 0 4 6 4 1 1 1
"709" 1 7 5 7 6 6 6
"710" 0 6 4 7 6 2 2
"711" 1 7 3 5 5 3 2
"712" 1 8 4 4 7 5 3
"713" 0 6 7 7 3 2 1
"714" 0 5 8 5 3 3 3
"715" 0 3 5 6 2 6 4
"716" 1 7 7 7 4 5 5
"717" 0 8 7 7 9 5 4
"718" 0 6 9 8 6 5 4
"719" 0 6 6 8 2 8 1
"720" 0 8 4 8 1 7 1
"721" 1 5 6 8 5 5 2
"722" 0 2 9 9 3 7 7
"723" 0 6 8 8 6 7 7
"724" 0 1 8 8 8 8 9
"725" 0 6 6 8 6 7 6
"726" 0 4 6 7 6 5 5
"727" 0 7 7 6 6 6 5
"728" 0 7 7 9 5 6 2
"729" 1 8 7 7 7 6 6
"730" 1 8 7 7 7 6 6
"731" 1 8 7 7 6 6 7
"732" 0 5 6 7 5 6 5
"733" 0 5 7 6 7 5 5
"734" 0 6 7 7 6 6 4
"735" 1 8 8 8 6 7 5
"736" 1 6 7 7 7 6 5
"737" 0 5 7 6 6 6 6
"738" 0 6 6 6 5 5 5
"739" 1 7 7 8 6 6 5
"740" 1 6 6 6 7 5 5
"741" 1 5 7 6 7 6 5
"742" 0 7 7 7 7 7 5
"743" 0 4 6 6 6 7 5
"744" 0 6 8 8 7 7 6
"745" 0 6 8 8 7 8 6
"746" 1 7 8 8 7 8 6
"747" 0 8 8 8 8 7 7
"748" 1 9 8 8 8 8 7
"749" 1 9 9 9 9 8 8
"750" 1 8 8 8 8 8 7
"751" 0 7 8 8 7 8 7
"752" 0 6 8 8 7 7 6
"753" 0 6 8 8 7 8 6
"754" 1 8 8 9 8 9 7
"755" 1 8 9 9 8 9 7
"756" 0 7 9 9 7 9 7
"757" 1 8 8 8 8 8 7
"758" 1 8 7 8 8 8 6
"759" 0 7 8 8 7 8 6
"760" 0 7 8 8 7 8 7
"761" 0 6 9 9 8 9 6
"762" 0 5 8 8 7 9 6
"763" 0 5 7 7 7 7 5
"764" 0 4 7 7 6 6 5
"765" 1 6 7 7 7 9 7
"766" 1 8 7 8 7 7 8
"767" 1 8 9 9 9 7 5
"768" 1 8 8 7 8 7 6
"769" 1 9 9 8 9 8 7
"770" 0 7 8 7 7 7 7
"771" 0 5 8 7 7 7 5
"772" 0 6 8 8 7 8 6
"773" 1 8 8 8 8 7 7
"774" 1 7 8 8 7 8 6
"775" 0 5 8 8 7 7 7
"776" 1 8 8 7 8 7 7
"777" 1 8 8 9 7 8 7
"778" 0 9 8 7 6 7 6
"779" 0 6 8 7 6 8 6
"780" 0 6 8 9 7 8 6
"781" 0 3 8 7 8 7 5
"782" 0 5 8 10 7 9 5
"783" 0 5 8 9 7 10 8
"784" 0 6 9 10 8 10 7
"785" 1 8 9 9 8 8 6
"786" 1 8 9 8 10 9 8
"787" 1 8 9 8 9 9 8
"788" 1 9 8 9 10 9 8
"789" 1 9 9 10 9 9 9
"790" 0 6 8 8 8 9 6
"791" 1 7 9 10 10 10 10
"792" 1 8 10 10 10 10 8
"793" 0 6 8 10 8 7 7
"794" 0 6 9 9 8 8 7
"795" 1 8 9 10 9 10 9
"796" 1 8 8 8 9 9 8
"797" 1 6 9 9 8 9 7
"799" 1 8 10 10 10 10 10
"800" 0 5 9 10 9 10 9
"801" 0 2 6 2 3 2 3
"802" 0 3 9 9 7 9 7
"803" 0 3 7 5 3 5 2
"804" 1 5 10 8 5 8 6
"805" 1 4 7 9 9 10 7
"806" 0 3 10 8 6 7 7
"807" 0 3 10 5 3 5 4
"808" 1 4 10 9 8 9 7
"809" 0 3 10 7 3 5 2
"810" 0 3 10 9 2 9 3
"811" 0 8 7 7 7 7 7
"812" 0 8 8 8 7 8 1
"813" 0 7 6 9 7 7 7
"814" 0 9 8 7 8 9 9
"815" 1 8 10 10 10 10 10
"816" 1 10 9 9 8 8 7
"817" 1 10 10 10 10 9 9
"818" 1 10 10 10 10 10 9
"819" 0 8 9 10 10 9 10
"820" 0 8 8 10 10 9 7
"821" 0 4 9 9 8 8 5
"823" 1 6 7 9 8 7 5
"824" 1 8 8 9 9 7 8
"825" 0 5 9 9 9 9 5
"826" 1 6 8 9 5 9 7
"827" 0 5 9 9 6 5 4
"828" 0 4 8 8 7 8 4
"829" 1 6 5 9 4 8 5
"830" 0 5 5 9 5 5 4
"833" 0 3 4 9 2 9 6
"834" 0 6 4 6 6 6 4
"837" 0 6 6 0 0 2 2
"839" 0 0 2 3 0 5 0
"843" 0 5 1 9 1 1 1
"845" 0 6 10 10 8 8 8
"846" 0 2 10 10 1 7 2
"847" 0 10 4 8 1 1 3
"849" 1 9 10 10 9 10 8
"851" 0 5 8 7 8 8 3
"852" 0 6 8 7 8 7 3
"853" 0 7 7 8 7 8 6
"854" 1 8 8 8 8 8 5
"855" 0 6 5 6 8 8 4
"856" 1 6 9 8 8 8 5
"857" 0 7 7 8 8 8 5
"858" 0 6 5 7 8 9 4
"859" 0 5 8 8 8 7 4
"860" 1 6 8 8 8 8 5
"861" 0 6 7 7 7 8 6
"862" 1 8 9 9 9 8 8
"863" 0 6 7 7 5 6 6
"864" 1 8 8 8 8 8 8
"865" 0 7 7 8 7 8 7
"866" 0 7 8 8 7 8 8
"867" 0 7 7 6 6 7 7
"868" 0 7 8 8 7 9 7
"869" 1 6 8 8 7 7 8
"870" 0 7 7 8 6 8 6
"871" 1 2 7 7 5 4 2
"872" 1 7 7 7 5 5 5
"873" 1 7 7 8 5 5 5
"874" 1 6 7 8 5 6 5
"875" 1 6 6 9 8 8 5
"876" 0 1 7 5 3 5 1
"877" 0 3 8 5 3 7 1
"878" 0 4 5 5 5 8 5
"879" 0 3 8 8 7 8 3
"880" 0 3 7 4 2 3 2
"881" 1 7 7 8 6 8 5
"882" 1 7 7 7 6 5 5
"883" 0 4 5 7 4 5 3
"884" 1 7 7 8 6 4 4
"885" 0 5 6 8 6 8 4
"886" 1 5 6 6 4 7 5
"887" 1 6 6 7 6 6 6
"888" 1 6 6 7 6 5 4
"889" 0 6 6 6 5 6 4
"890" 1 8 6 8 5 8 5
"891" 0 6 7 8 7 8 6
"892" 0 6 7 7 7 7 6
"893" 0 7 7 7 7 7 6
"894" 0 7 7 7 7 8 6
"895" 0 7 7 8 7 7 6
"896" 0 5 7 7 5 7 5
"897" 0 7 7 7 7 6 7
"898" 0 7 7 7 8 8 5
"899" 0 7 7 7 7 7 5
"900" 0 5 8 7 6 8 5
"901" 1 7 6 6 7 9 5
"902" 0 4 7 7 6 6 5
"905" 1 5 8 7 8 8 6
"907" 1 9 8 8 8 7 5
"908" 0 2 6 7 5 6 4
"909" 0 4 6 6 5 4 4
"910" 1 8 8 8 8 6 8
